Date,Mkt-RF,SMB,HML,RF
2010-01-04,1.69,0.61,1.14,0.0
2010-01-05,0.31,-0.64,1.22,0.0
2010-01-06,0.13,-0.23,0.55,0.0
2010-01-07,0.4,0.09,0.96,0.0
2010-01-08,0.33,0.36,0.02,0.0
2010-01-11,0.13,-0.13,-0.26,0.0
2010-01-12,-1.0,-0.17,-1.28,0.0
2010-01-13,0.85,0.27,0.31,0.0
2010-01-14,0.24,0.29,0.08,0.0
2010-01-15,-1.11,-0.12,-0.39,0.0
2010-01-19,1.26,0.49,-0.2,0.0
2010-01-20,-0.98,-0.59,0.22,0.0
2010-01-21,-1.74,0.4,-1.09,0.0
2010-01-22,-2.13,0.61,-0.9,0.0
2010-01-25,0.37,-0.22,0.34,0.0
2010-01-26,-0.45,-0.1,-0.45,0.0
2010-01-27,0.53,0.26,0.2,0.0
2010-01-28,-1.18,-0.67,0.42,0.0
2010-01-29,-0.97,-0.05,-0.42,0.0
2010-02-01,1.39,-0.22,0.89,0.0
2010-02-02,1.21,-0.4,0.64,0.0
2010-02-03,-0.49,0.05,-0.37,0.0
2010-02-04,-3.14,-0.12,-1.19,0.0
2010-02-05,0.29,0.0,0.01,0.0
2010-02-08,-0.79,0.05,-0.38,0.0
2010-02-09,1.33,0.32,0.57,0.0
2010-02-10,-0.17,0.26,0.3,0.0
2010-02-11,1.13,0.73,0.06,0.0
2010-02-12,-0.07,0.98,0.14,0.0
2010-02-16,1.75,-0.31,1.02,0.0
2010-02-17,0.49,0.1,0.1,0.0
2010-02-18,0.62,0.08,0.02,0.0
2010-02-19,0.28,0.05,0.48,0.0
2010-02-22,-0.05,-0.06,0.6,0.0
2010-02-23,-1.24,0.32,-0.94,0.0
2010-02-24,0.94,-0.37,0.55,0.0
2010-02-25,-0.13,0.22,0.27,0.0
2010-02-26,0.12,-0.56,0.4,0.0
2010-03-01,1.2,1.2,0.05,0.0
2010-03-02,0.32,0.61,0.17,0.0
2010-03-03,0.09,0.16,0.09,0.0
2010-03-04,0.37,0.12,0.2,0.0
2010-03-05,1.43,0.41,0.62,0.0
2010-03-08,0.02,0.1,0.3,0.0
2010-03-09,0.21,0.26,-0.09,0.0
2010-03-10,0.54,0.07,0.71,0.0
2010-03-11,0.43,-0.08,-0.09,0.0
2010-03-12,-0.02,0.03,-0.25,0.0
2010-03-15,-0.02,-0.31,-0.5,0.0
2010-03-16,0.78,-0.15,0.57,0.0
2010-03-17,0.57,0.05,0.37,0.0
2010-03-18,-0.1,-0.15,-0.59,0.0
2010-03-19,-0.61,-0.61,-0.62,0.0
2010-03-22,0.67,0.87,0.03,0.0
2010-03-23,0.8,0.33,0.34,0.0
2010-03-24,-0.6,-0.62,0.79,0.0
2010-03-25,-0.26,-0.45,-0.26,0.0
2010-03-26,0.06,-0.11,0.27,0.0
2010-03-29,0.59,-0.1,0.2,0.0
2010-03-30,0.04,0.29,-0.43,0.0
2010-03-31,-0.36,-0.51,0.2,0.0
2010-04-01,0.75,-0.05,0.79,0.0
2010-04-05,0.95,1.05,0.85,0.0
2010-04-06,0.19,0.25,0.47,0.0
2010-04-07,-0.48,0.19,0.27,0.0
2010-04-08,0.31,-0.29,0.35,0.0
2010-04-09,0.66,-0.15,0.17,0.0
